Date,n
2009-06-20,1171
2009-06-21,1158
2009-06-22,1193
2009-06-23,1230
2009-06-24,1225
2009-06-25,1084
2009-06-26,1219
2009-06-27,1273
2009-06-28,1119
2009-06-29,1182
2009-06-30,1214
2009-07-01,1323
2009-07-02,1144
2009-07-03,1155
2009-07-04,1013
2009-07-05,1013
2009-07-06,1116
2009-07-07,1199
2009-07-08,1060
2009-07-09,1168
2009-07-10,1244
2009-07-11,1106
2009-07-12,1167
2009-07-13,1095
2009-07-14,1144
2009-07-15,1176
2009-07-16,1190
2009-07-17,1223
2009-07-18,1120
2009-07-19,1047
2009-07-20,1160
2009-07-21,1190
2009-07-22,1232
2009-07-23,1136
2009-07-24,1214
2009-07-25,1136
2009-07-26,1118
2009-07-27,1174
2009-07-28,1163
2009-07-29,1163
2009-07-30,1147
2009-07-31,1139
2009-08-01,1340
2009-08-02,1122
2009-08-03,1122
2009-08-04,1076
2009-08-05,1206
2009-08-06,1150
2009-08-07,1122
2009-08-08,1171
2009-08-09,1178
2009-08-10,1165
2009-08-11,1254
2009-08-12,1252
2009-08-13,1188
2009-08-14,1261
2009-08-15,1210
2009-08-16,1121
2009-08-17,1150
2009-08-18,1308
2009-08-19,1218
2009-08-20,1206
2009-08-21,1161
2009-08-22,1012
2009-08-23,1066
2009-08-24,1088
2009-08-25,1156
2009-08-26,1181
2009-08-27,1037
2009-08-28,1152
2009-08-29,1108
2009-08-30,1016
2009-08-31,1029
2009-09-01,1263
2009-09-02,1105
2009-09-03,1125
2009-09-04,1172
2009-09-05,1067
2009-09-06,1105
2009-09-07,1028
2009-09-08,1093
2009-09-09,1147
2009-09-10,1185
2009-09-11,1285
2009-09-12,1128
2009-09-13,1039
2009-09-14,1060
2009-09-15,1180
2009-09-16,1135
2009-09-17,1146
2009-09-18,1223
2009-09-19,1111
2009-09-20,1067
2009-09-21,1090
2009-09-22,1129
2009-09-23,1197
2009-09-24,1214
2009-09-25,1214
2009-09-26,1103
2009-09-27,1063
2009-09-28,1110
2009-09-29,1090
2009-09-30,996
2009-10-01,1148
2009-10-02,1054
2009-10-03,980
2009-10-04,962
2009-10-05,1056
2009-10-06,1088
2009-10-07,1158
2009-10-08,1055
2009-10-09,1080
2009-10-10,1101
2009-10-11,919
2009-10-12,985
2009-10-13,1150
2009-10-14,1050
2009-10-15,1088
2009-10-16,1150
2009-10-17,1025
2009-10-18,1002
2009-10-19,1112
2009-10-20,1172
2009-10-21,1186
2009-10-22,1068
2009-10-23,1084
2009-10-24,1136
2009-10-25,1055
2009-10-26,1046
2009-10-27,1104
2009-10-28,1079
2009-10-29,1074
2009-10-30,1180
2009-10-31,1183
2009-11-01,1175
2009-11-02,1002
2009-11-03,1071
2009-11-04,1098
2009-11-05,1077
2009-11-06,1139
2009-11-07,1092
2009-11-08,1077
2009-11-09,1133
2009-11-10,1098
2009-11-11,1086
2009-11-12,1078
2009-11-13,1207
2009-11-14,1148
2009-11-15,1035
2009-11-16,998
2009-11-17,1018
2009-11-18,1042
2009-11-19,1038
2009-11-20,1187
2009-11-21,992
2009-11-22,987
2009-11-23,1021
2009-11-24,992
2009-11-25,1085
2009-11-26,681
2009-11-27,947
2009-11-28,988
2009-11-29,881
2009-11-30,1015
2009-12-01,1225
2009-12-02,997
2009-12-03,974
2009-12-04,997
2009-12-05,912
2009-12-06,902
2009-12-07,901
2009-12-08,964
2009-12-09,908
2009-12-10,803
2009-12-11,990
2009-12-12,968
2009-12-13,878
2009-12-14,1017
2009-12-15,958
2009-12-16,958
2009-12-17,1002
2009-12-18,1071
2009-12-19,918
2009-12-20,908
2009-12-21,918
2009-12-22,884
2009-12-23,881
2009-12-24,753
2009-12-25,607
2009-12-26,753
2009-12-27,757
2009-12-28,819
2009-12-29,823
2009-12-30,924
2009-12-31,816
2010-01-01,1429
2010-01-02,793
2010-01-03,760
2010-01-04,855
2010-01-05,912
2010-01-06,886
2010-01-07,864
2010-01-08,931
2010-01-09,820
2010-01-10,782
2010-01-11,955
2010-01-12,1004
2010-01-13,991
2010-01-14,1078
2010-01-15,1212
2010-01-16,936
2010-01-17,901
2010-01-18,909
2010-01-19,1039
2010-01-20,969
2010-01-21,960
2010-01-22,1094
2010-01-23,1045
2010-01-24,829
2010-01-25,924
2010-01-26,987
2010-01-27,896
2010-01-28,895
2010-01-29,862
2010-01-30,873
2010-01-31,823
2010-02-01,1031
2010-02-02,890
2010-02-03,942
2010-02-04,950
2010-02-05,966
2010-02-06,858
2010-02-07,761
2010-02-08,844
2010-02-09,797
2010-02-10,822
2010-02-11,851
2010-02-12,890
2010-02-13,876
2010-02-14,765
2010-02-15,828
2010-02-16,920
2010-02-17,926
2010-02-18,1036
2010-02-19,962
2010-02-20,912
2010-02-21,809
2010-02-22,831
2010-02-23,970
2010-02-24,909
2010-02-25,885
2010-02-26,961
2010-02-27,908
2010-02-28,843
2010-03-01,1137
2010-03-02,969
2010-03-03,962
2010-03-04,987
2010-03-05,1112
2010-03-06,982
2010-03-07,845
2010-03-08,1094
2010-03-09,1110
2010-03-10,1128
2010-03-11,1110
2010-03-12,1157
2010-03-13,983
2010-03-14,896
2010-03-15,1071
2010-03-16,1115
2010-03-17,1068
2010-03-18,1156
2010-03-19,1164
2010-03-20,876
2010-03-21,902
2010-03-22,966
2010-03-23,1117
2010-03-24,1145
2010-03-25,1078
2010-03-26,1068
2010-03-27,1094
2010-03-28,956
2010-03-29,973
2010-03-30,1052
2010-03-31,1062
2010-04-01,1261
2010-04-02,1136
2010-04-03,976
2010-04-04,882
2010-04-05,1009
2010-04-06,1058
2010-04-07,913
2010-04-08,1081
2010-04-09,1074
2010-04-10,1144
2010-04-11,957
2010-04-12,1017
2010-04-13,1030
2010-04-14,1162
2010-04-15,1255
2010-04-16,1123
2010-04-17,1024
2010-04-18,937
2010-04-19,1022
2010-04-20,1107
2010-04-21,1004
2010-04-22,1059
2010-04-23,1163
2010-04-24,1019
2010-04-25,918
2010-04-26,1047
2010-04-27,1025
2010-04-28,1041
2010-04-29,1067
2010-04-30,1157
2010-05-01,1202
2010-05-02,973
2010-05-03,1112
2010-05-04,1121
2010-05-05,1255
2010-05-06,1104
2010-05-07,1113
2010-05-08,953
2010-05-09,982
2010-05-10,1100
2010-05-11,999
2010-05-12,1109
2010-05-13,1034
2010-05-14,1213
2010-05-15,1114
2010-05-16,959
2010-05-17,1031
2010-05-18,1093
2010-05-19,1084
2010-05-20,1129
2010-05-21,1090
2010-05-22,1052
2010-05-23,1056
2010-05-24,1153
2010-05-25,1107
2010-05-26,1176
2010-05-27,1091
2010-05-28,1146
2010-05-29,1061
2010-05-30,975
2010-05-31,811
2010-06-01,1298
2010-06-02,1114
2010-06-03,1056
2010-06-04,1141
2010-06-05,1061
2010-06-06,970
2010-06-07,1079
2010-06-08,1014
2010-06-09,1129
2010-06-10,1231
2010-06-11,1159
2010-06-12,999
2010-06-13,926
2010-06-14,1110
2010-06-15,1085
2010-06-16,1093
2010-06-17,1141
2010-06-18,1082
2010-06-19,931
2010-06-20,1088
2010-06-21,1142
2010-06-22,1041
2010-06-23,1005
2010-06-24,1024
2010-06-25,1154
2010-06-26,1119
2010-06-27,1106
2010-06-28,1168
2010-06-29,1106
2010-06-30,1140
2010-07-01,1259
2010-07-02,1091
2010-07-03,1005
2010-07-04,999
2010-07-05,1110
2010-07-06,1076
2010-07-07,1088
2010-07-08,1157
2010-07-09,1097
2010-07-10,1072
2010-07-11,1019
2010-07-12,1063
2010-07-13,1019
2010-07-14,1128
2010-07-15,1097
2010-07-16,1144
2010-07-17,1121
2010-07-18,1077
2010-07-19,1041
2010-07-20,1129
2010-07-21,1085
2010-07-22,1187
2010-07-23,1092
2010-07-24,935
2010-07-25,1064
2010-07-26,1056
2010-07-27,1134
2010-07-28,1098
2010-07-29,1004
2010-07-30,1061
2010-07-31,1002
2010-08-01,1195
2010-08-02,1062
2010-08-03,1045
2010-08-04,1049
2010-08-05,1119
2010-08-06,1154
2010-08-07,1101
2010-08-08,1069
2010-08-09,1098
2010-08-10,1112
2010-08-11,1099
2010-08-12,1042
2010-08-13,1068
2010-08-14,1119
2010-08-15,1107
2010-08-16,1116
2010-08-17,1084
2010-08-18,1129
2010-08-19,1152
2010-08-20,1151
2010-08-21,1060
2010-08-22,1042
2010-08-23,1129
2010-08-24,1116
2010-08-25,1071
2010-08-26,1140
2010-08-27,1134
2010-08-28,1040
2010-08-29,1128
2010-08-30,1132
2010-08-31,1084
2010-09-01,1226
2010-09-02,1022
2010-09-03,1098
2010-09-04,987
2010-09-05,982
2010-09-06,1055
2010-09-07,1128
2010-09-08,1056
2010-09-09,1014
2010-09-10,1121
2010-09-11,970
2010-09-12,1077
2010-09-13,997
2010-09-14,1069
2010-09-15,1057
2010-09-16,1039
2010-09-17,1126
2010-09-18,1050
2010-09-19,1039
2010-09-20,1083
2010-09-21,1134
2010-09-22,1125
2010-09-23,1086
2010-09-24,1150
2010-09-25,1096
2010-09-26,974
2010-09-27,969
2010-09-28,1084
2010-09-29,1072
2010-09-30,1001
2010-10-01,1238
2010-10-02,905
2010-10-03,886
2010-10-04,985
2010-10-05,1046
2010-10-06,1122
2010-10-07,1069
2010-10-08,1183
2010-10-09,1099
2010-10-10,1095
2010-10-11,1019
2010-10-12,1096
2010-10-13,1038
2010-10-14,1038
2010-10-15,1160
2010-10-16,1010
2010-10-17,979
2010-10-18,1032
2010-10-19,1034
2010-10-20,1053
2010-10-21,1066
2010-10-22,1067
2010-10-23,1001
2010-10-24,948
2010-10-25,1034
2010-10-26,1091
2010-10-27,1027
2010-10-28,989
2010-10-29,1084
2010-10-30,992
2010-10-31,1005
2010-11-01,1114
2010-11-02,1044
2010-11-03,972
2010-11-04,963
2010-11-05,1010
2010-11-06,937
2010-11-07,944
2010-11-08,1053
2010-11-09,1121
2010-11-10,1108
2010-11-11,1044
2010-11-12,1057
2010-11-13,946
2010-11-14,899
2010-11-15,1032
2010-11-16,940
2010-11-17,928
2010-11-18,940
2010-11-19,1093
2010-11-20,953
2010-11-21,912
2010-11-22,906
2010-11-23,932
2010-11-24,947
2010-11-25,666
2010-11-26,868
2010-11-27,854
2010-11-28,892
2010-11-29,917
2010-11-30,891
2010-12-01,948
2010-12-02,974
2010-12-03,929
2010-12-04,858
2010-12-05,767
2010-12-06,774
2010-12-07,887
2010-12-08,802
2010-12-09,854
2010-12-10,961
2010-12-11,811
2010-12-12,670
2010-12-13,729
2010-12-14,814
2010-12-15,906
2010-12-16,860
2010-12-17,911
2010-12-18,801
2010-12-19,751
2010-12-20,840
2010-12-21,815
2010-12-22,883
2010-12-23,856
2010-12-24,744
2010-12-25,503
2010-12-26,612
2010-12-27,687
2010-12-28,813
2010-12-29,797
2010-12-30,852
2010-12-31,832
2011-01-01,1538
2011-01-02,711
2011-01-03,885
2011-01-04,845
2011-01-05,896
2011-01-06,888
2011-01-07,937
2011-01-08,837
2011-01-09,749
2011-01-10,918
2011-01-11,845
2011-01-12,910
2011-01-13,937
2011-01-14,987
2011-01-15,895
2011-01-16,769
2011-01-17,809
2011-01-18,884
2011-01-19,932
2011-01-20,818
2011-01-21,840
2011-01-22,755
2011-01-23,811
2011-01-24,844
2011-01-25,914
2011-01-26,919
2011-01-27,842
2011-01-28,902
2011-01-29,826
2011-01-30,756
2011-01-31,794
2011-02-01,697
2011-02-02,320
2011-02-03,524
2011-02-04,669
2011-02-05,705
2011-02-06,653
2011-02-07,762
2011-02-08,718
2011-02-09,762
2011-02-10,780
2011-02-11,890
2011-02-12,828
2011-02-13,780
2011-02-14,875
2011-02-15,920
2011-02-16,935
2011-02-17,980
2011-02-18,1070
2011-02-19,882
2011-02-20,761
2011-02-21,705
2011-02-22,855
2011-02-23,860
2011-02-24,882
2011-02-25,910
2011-02-26,856
2011-02-27,783
2011-02-28,866
2011-03-01,1057
2011-03-02,822
2011-03-03,932
2011-03-04,941
2011-03-05,782
2011-03-06,723
2011-03-07,847
2011-03-08,916
2011-03-09,931
2011-03-10,946
2011-03-11,1075
2011-03-12,959
2011-03-13,777
2011-03-14,918
2011-03-15,930
2011-03-16,1053
2011-03-17,1077
2011-03-18,1103
2011-03-19,928
2011-03-20,806
2011-03-21,984
2011-03-22,916
2011-03-23,936
2011-03-24,893
2011-03-25,1022
2011-03-26,862
2011-03-27,845
2011-03-28,899
2011-03-29,917
2011-03-30,938
2011-03-31,959
2011-04-01,1079
2011-04-02,1106
2011-04-03,947
2011-04-04,1031
2011-04-05,992
2011-04-06,1029
2011-04-07,970
2011-04-08,1028
2011-04-09,948
2011-04-10,1113
2011-04-11,1006
2011-04-12,969
2011-04-13,1034
2011-04-14,1028
2011-04-15,1023
2011-04-16,924
2011-04-17,913
2011-04-18,904
2011-04-19,777
2011-04-20,880
2011-04-21,892
2011-04-22,894
2011-04-23,984
2011-04-24,848
2011-04-25,930
2011-04-26,947
2011-04-27,988
2011-04-28,963
2011-04-29,979
2011-04-30,976
2011-05-01,1143
2011-05-02,966
2011-05-03,993
2011-05-04,1025
2011-05-05,1078
2011-05-06,1062
2011-05-07,973
2011-05-08,942
2011-05-09,1057
2011-05-10,1076
2011-05-11,1111
2011-05-12,1045
